id_sector,sector,id_subsector,subsector,id_energy_carrier,energy_carrier,id_end_use,end_use,id_end_use_level2,end_use_level2,year,unit,value
3,GHD & Industry,31,agriculture,6,Natural Gas,3,space heating,6,space_heating,2021,kWh,6919300232
3,GHD & Industry,31,agriculture,6,Natural Gas,1,appliance,7,process_cooling,2021,kWh,0
3,GHD & Industry,31,agriculture,6,Natural Gas,2,space cooling,8,space_cooling,2021,kWh,0
3,GHD & Industry,31,agriculture,12,Biomass solid,1,appliance,1,lighting,2021,kWh,0
3,GHD & Industry,31,agriculture,12,Biomass solid,1,appliance,2,ICT,2021,kWh,0
3,GHD & Industry,31,agriculture,12,Biomass solid,1,appliance,3,mechanical_energy,2021,kWh,2353232688
3,GHD & Industry,31,agriculture,12,Biomass solid,4,domestic hot water,4,hot_water,2021,kWh,255918272.1
3,GHD & Industry,31,agriculture,12,Biomass solid,1,appliance,5,process_heating,2021,kWh,0
3,GHD & Industry,31,agriculture,12,Biomass solid,3,space heating,6,space_heating,2021,kWh,24144484191
3,GHD & Industry,31,agriculture,12,Biomass solid,1,appliance,7,process_cooling,2021,kWh,0
3,GHD & Industry,31,agriculture,12,Biomass solid,2,space cooling,8,space_cooling,2021,kWh,0
3,GHD & Industry,31,agriculture,13,District heating,1,appliance,1,lighting,2021,kWh,0
3,GHD & Industry,31,agriculture,13,District heating,1,appliance,2,ICT,2021,kWh,0
3,GHD & Industry,31,agriculture,13,District heating,1,appliance,3,mechanical_energy,2021,kWh,0
3,GHD & Industry,31,agriculture,13,District heating,4,domestic hot water,4,hot_water,2021,kWh,923801.0145
3,GHD & Industry,31,agriculture,13,District heating,1,appliance,5,process_heating,2021,kWh,3800.144521
3,GHD & Industry,31,agriculture,13,District heating,3,space heating,6,space_heating,2021,kWh,0
3,GHD & Industry,31,agriculture,13,District heating,1,appliance,7,process_cooling,2021,kWh,0
3,GHD & Industry,31,agriculture,13,District heating,2,space cooling,8,space_cooling,2021,kWh,0
3,GHD & Industry,31,agriculture,24,Renewables,1,appliance,1,lighting,2021,kWh,0
3,GHD & Industry,31,agriculture,24,Renewables,1,appliance,2,ICT,2021,kWh,0
3,GHD & Industry,31,agriculture,24,Renewables,1,appliance,3,mechanical_energy,2021,kWh,0
3,GHD & Industry,31,agriculture,24,Renewables,4,domestic hot water,4,hot_water,2021,kWh,11650824.23
3,GHD & Industry,31,agriculture,24,Renewables,1,appliance,5,process_heating,2021,kWh,0
3,GHD & Industry,31,agriculture,24,Renewables,3,space heating,6,space_heating,2021,kWh,138914990
3,GHD & Industry,31,agriculture,24,Renewables,1,appliance,7,process_cooling,2021,kWh,0
3,GHD & Industry,31,agriculture,24,Renewables,2,space cooling,8,space_cooling,2021,kWh,0
3,GHD & Industry,31,agriculture,1,Electricity,1,appliance,1,lighting,2022,kWh,1968638143
3,GHD & Industry,31,agriculture,1,Electricity,1,appliance,2,ICT,2022,kWh,387749245.4
3,GHD & Industry,31,agriculture,1,Electricity,1,appliance,3,mechanical_energy,2022,kWh,2089800451
3,GHD & Industry,31,agriculture,1,Electricity,4,domestic hot water,4,hot_water,2022,kWh,73628858.45
3,GHD & Industry,31,agriculture,1,Electricity,1,appliance,5,process_heating,2022,kWh,171033548
3,GHD & Industry,31,agriculture,1,Electricity,3,space heating,6,space_heating,2022,kWh,367290934.8
3,GHD & Industry,31,agriculture,1,Electricity,1,appliance,7,process_cooling,2022,kWh,25559611.68
3,GHD & Industry,31,agriculture,1,Electricity,2,space cooling,8,space_cooling,2022,kWh,541837306.3
3,GHD & Industry,31,agriculture,2,Light fuel oil,1,appliance,1,lighting,2022,kWh,0
3,GHD & Industry,31,agriculture,2,Light fuel oil,1,appliance,2,ICT,2022,kWh,0
3,GHD & Industry,31,agriculture,2,Light fuel oil,1,appliance,3,mechanical_energy,2022,kWh,27811289720
3,GHD & Industry,31,agriculture,2,Light fuel oil,4,domestic hot water,4,hot_water,2022,kWh,10146931.42
3,GHD & Industry,31,agriculture,2,Light fuel oil,1,appliance,5,process_heating,2022,kWh,52871820.27
3,GHD & Industry,31,agriculture,2,Light fuel oil,3,space heating,6,space_heating,2022,kWh,2131536026
3,GHD & Industry,31,agriculture,2,Light fuel oil,1,appliance,7,process_cooling,2022,kWh,0
3,GHD & Industry,31,agriculture,2,Light fuel oil,2,space cooling,8,space_cooling,2022,kWh,0
3,GHD & Industry,31,agriculture,3,Hard coal,1,appliance,1,lighting,2022,kWh,0
3,GHD & Industry,31,agriculture,3,Hard coal,1,appliance,2,ICT,2022,kWh,0
3,GHD & Industry,31,agriculture,3,Hard coal,1,appliance,3,mechanical_energy,2022,kWh,0
3,GHD & Industry,31,agriculture,3,Hard coal,4,domestic hot water,4,hot_water,2022,kWh,0
3,GHD & Industry,31,agriculture,3,Hard coal,1,appliance,5,process_heating,2022,kWh,0
3,GHD & Industry,31,agriculture,3,Hard coal,3,space heating,6,space_heating,2022,kWh,10031388.89
3,GHD & Industry,31,agriculture,3,Hard coal,1,appliance,7,process_cooling,2022,kWh,0
3,GHD & Industry,31,agriculture,3,Hard coal,2,space cooling,8,space_cooling,2022,kWh,0
3,GHD & Industry,31,agriculture,6,Natural Gas,1,appliance,1,lighting,2022,kWh,0
3,GHD & Industry,31,agriculture,6,Natural Gas,1,appliance,2,ICT,2022,kWh,0
3,GHD & Industry,31,agriculture,6,Natural Gas,1,appliance,3,mechanical_energy,2022,kWh,0
3,GHD & Industry,31,agriculture,6,Natural Gas,4,domestic hot water,4,hot_water,2022,kWh,243415483.7
3,GHD & Industry,31,agriculture,6,Natural Gas,1,appliance,5,process_heating,2022,kWh,366023494.2
3,GHD & Industry,31,agriculture,6,Natural Gas,3,space heating,6,space_heating,2022,kWh,6934638792
3,GHD & Industry,31,agriculture,6,Natural Gas,1,appliance,7,process_cooling,2022,kWh,0
3,GHD & Industry,31,agriculture,6,Natural Gas,2,space cooling,8,space_cooling,2022,kWh,0
3,GHD & Industry,31,agriculture,12,Biomass solid,1,appliance,1,lighting,2022,kWh,0
3,GHD & Industry,31,agriculture,12,Biomass solid,1,appliance,2,ICT,2022,kWh,0
3,GHD & Industry,31,agriculture,12,Biomass solid,1,appliance,3,mechanical_energy,2022,kWh,2197584879
3,GHD & Industry,31,agriculture,12,Biomass solid,4,domestic hot water,4,hot_water,2022,kWh,238752518.4
3,GHD & Industry,31,agriculture,12,Biomass solid,1,appliance,5,process_heating,2022,kWh,0
3,GHD & Industry,31,agriculture,12,Biomass solid,3,space heating,6,space_heating,2022,kWh,24293702615
3,GHD & Industry,31,agriculture,12,Biomass solid,1,appliance,7,process_cooling,2022,kWh,0
3,GHD & Industry,31,agriculture,12,Biomass solid,2,space cooling,8,space_cooling,2022,kWh,0
3,GHD & Industry,31,agriculture,13,District heating,1,appliance,1,lighting,2022,kWh,0
3,GHD & Industry,31,agriculture,13,District heating,1,appliance,2,ICT,2022,kWh,0
3,GHD & Industry,31,agriculture,13,District heating,1,appliance,3,mechanical_energy,2022,kWh,0
3,GHD & Industry,31,agriculture,13,District heating,4,domestic hot water,4,hot_water,2022,kWh,583338.2399
3,GHD & Industry,31,agriculture,13,District heating,1,appliance,5,process_heating,2022,kWh,2399.61808
3,GHD & Industry,31,agriculture,13,District heating,3,space heating,6,space_heating,2022,kWh,0
3,GHD & Industry,31,agriculture,13,District heating,1,appliance,7,process_cooling,2022,kWh,0
3,GHD & Industry,31,agriculture,13,District heating,2,space cooling,8,space_cooling,2022,kWh,0
3,GHD & Industry,31,agriculture,24,Renewables,1,appliance,1,lighting,2022,kWh,0
3,GHD & Industry,31,agriculture,24,Renewables,1,appliance,2,ICT,2022,kWh,0
3,GHD & Industry,31,agriculture,24,Renewables,1,appliance,3,mechanical_energy,2022,kWh,0
3,GHD & Industry,31,agriculture,24,Renewables,4,domestic hot water,4,hot_water,2022,kWh,13954610.62
3,GHD & Industry,31,agriculture,24,Renewables,1,appliance,5,process_heating,2022,kWh,0
3,GHD & Industry,31,agriculture,24,Renewables,3,space heating,6,space_heating,2022,kWh,163571185.2
3,GHD & Industry,31,agriculture,24,Renewables,1,appliance,7,process_cooling,2022,kWh,0
3,GHD & Industry,31,agriculture,24,Renewables,2,space cooling,8,space_cooling,2022,kWh,0
3,GHD & Industry,32,manufacturing,1,Electricity,1,appliance,1,lighting,2019,kWh,11266247318
3,GHD & Industry,32,manufacturing,1,Electricity,1,appliance,2,ICT,2019,kWh,9276039718
3,GHD & Industry,32,manufacturing,1,Electricity,1,appliance,3,mechanical_energy,2019,kWh,1.47659E+11
3,GHD & Industry,32,manufacturing,1,Electricity,4,domestic hot water,4,hot_water,2019,kWh,600069650.5
3,GHD & Industry,32,manufacturing,1,Electricity,1,appliance,5,process_heating,2019,kWh,38254443782
3,GHD & Industry,32,manufacturing,1,Electricity,3,space heating,6,space_heating,2019,kWh,848843159.6
3,GHD & Industry,32,manufacturing,1,Electricity,1,appliance,7,process_cooling,2019,kWh,10265141761
3,GHD & Industry,32,manufacturing,1,Electricity,2,space cooling,8,space_cooling,2019,kWh,5139283398
3,GHD & Industry,32,manufacturing,2,Light fuel oil,1,appliance,1,lighting,2019,kWh,0
3,GHD & Industry,32,manufacturing,2,Light fuel oil,1,appliance,2,ICT,2019,kWh,0
3,GHD & Industry,32,manufacturing,2,Light fuel oil,1,appliance,3,mechanical_energy,2019,kWh,222222222.2
3,GHD & Industry,32,manufacturing,2,Light fuel oil,4,domestic hot water,4,hot_water,2019,kWh,195460233
3,GHD & Industry,32,manufacturing,2,Light fuel oil,1,appliance,5,process_heating,2019,kWh,48888888889
3,GHD & Industry,32,manufacturing,2,Light fuel oil,3,space heating,6,space_heating,2019,kWh,4412283035
3,GHD & Industry,32,manufacturing,2,Light fuel oil,1,appliance,7,process_cooling,2019,kWh,0
3,GHD & Industry,32,manufacturing,2,Light fuel oil,2,space cooling,8,space_cooling,2019,kWh,0
3,GHD & Industry,32,manufacturing,3,Hard coal,1,appliance,1,lighting,2019,kWh,0
3,GHD & Industry,32,manufacturing,3,Hard coal,1,appliance,2,ICT,2019,kWh,0
3,GHD & Industry,32,manufacturing,3,Hard coal,1,appliance,3,mechanical_energy,2019,kWh,0
3,GHD & Industry,32,manufacturing,3,Hard coal,4,domestic hot water,4,hot_water,2019,kWh,250000000
3,GHD & Industry,32,manufacturing,3,Hard coal,1,appliance,5,process_heating,2019,kWh,1.09333E+11
3,GHD & Industry,32,manufacturing,3,Hard coal,3,space heating,6,space_heating,2019,kWh,2444444444
3,GHD & Industry,32,manufacturing,3,Hard coal,1,appliance,7,process_cooling,2019,kWh,0
3,GHD & Industry,32,manufacturing,3,Hard coal,2,space cooling,8,space_cooling,2019,kWh,0
3,GHD & Industry,32,manufacturing,6,Natural Gas,1,appliance,1,lighting,2019,kWh,0
3,GHD & Industry,32,manufacturing,6,Natural Gas,1,appliance,2,ICT,2019,kWh,0
3,GHD & Industry,32,manufacturing,6,Natural Gas,1,appliance,3,mechanical_energy,2019,kWh,6750920768
3,GHD & Industry,32,manufacturing,6,Natural Gas,4,domestic hot water,4,hot_water,2019,kWh,2821157689
