id_region,id_sector,id_subsector,id_end_use,id_energy_carrier,unit,year,value
9,3,32,1,1,kWh/person,2011,477.3082567
9,3,32,1,1,kWh/person,2012,472.2841853
9,3,32,1,1,kWh/person,2013,467.5771886
9,3,32,1,1,kWh/person,2014,462.6914762
9,3,32,1,1,kWh/person,2015,457.9882562
9,3,32,1,1,kWh/person,2016,453.274544
9,3,32,1,1,kWh/person,2017,448.50639
9,3,32,1,1,kWh/person,2018,443.6086245
9,3,32,1,1,kWh/person,2019,438.6455555
9,3,32,1,1,kWh/person,2020,410.6430669
9,3,32,1,1,kWh/person,2021,398.0849955
9,3,32,1,1,kWh/person,2022,385.7124827
9,3,32,1,1,kWh/person,2023,371.4729733
9,3,32,1,1,kWh/person,2024,358.678854
9,3,32,1,1,kWh/person,2025,345.2863488
9,3,32,1,1,kWh/person,2026,335.2784422
9,3,32,1,1,kWh/person,2027,330.3909095
9,3,32,1,1,kWh/person,2028,325.1617725
9,3,32,1,1,kWh/person,2029,321.9967247
9,3,32,1,1,kWh/person,2030,319.139717
9,3,32,1,1,kWh/person,2031,317.538327
9,3,32,1,1,kWh/person,2032,316.4720675
9,3,32,1,1,kWh/person,2033,315.6524139
9,3,32,1,1,kWh/person,2034,314.6637984
9,3,32,1,1,kWh/person,2035,313.7203869
9,3,32,1,1,kWh/person,2036,312.7249902
9,3,32,1,1,kWh/person,2037,310.2938059
9,3,32,1,1,kWh/person,2038,306.0792369
9,3,32,1,1,kWh/person,2039,303.3902936
9,3,32,1,1,kWh/person,2040,301.0912999
9,3,32,1,1,kWh/person,2041,298.2130838
9,3,32,1,1,kWh/person,2042,295.2551457
9,3,32,1,1,kWh/person,2043,294.132527
9,3,32,1,1,kWh/person,2044,293.5303901
9,3,32,1,1,kWh/person,2045,292.9101178
9,3,32,1,1,kWh/person,2046,291.6046711
9,3,32,1,1,kWh/person,2047,290.6216615
9,3,32,1,1,kWh/person,2048,291.4211371
9,3,32,1,1,kWh/person,2049,290.5046044
9,3,32,1,1,kWh/person,2050,289.0218654
9,3,32,1,2,kWh/person,2010,0
9,3,32,1,2,kWh/person,2011,0
9,3,32,1,2,kWh/person,2012,0
9,3,32,1,2,kWh/person,2013,0
9,3,32,1,2,kWh/person,2014,0
9,3,32,1,2,kWh/person,2015,0
9,3,32,1,2,kWh/person,2016,0
9,3,32,1,2,kWh/person,2017,0
9,3,32,1,2,kWh/person,2018,0
9,3,32,1,2,kWh/person,2019,0
9,3,32,1,2,kWh/person,2020,0
9,3,32,1,2,kWh/person,2021,0
9,3,32,1,2,kWh/person,2022,0
9,3,32,1,2,kWh/person,2023,0
9,3,32,1,2,kWh/person,2024,0
9,3,32,1,2,kWh/person,2025,0
9,3,32,1,2,kWh/person,2026,0
9,3,32,1,2,kWh/person,2027,0
9,3,32,1,2,kWh/person,2028,0
9,3,32,1,2,kWh/person,2029,0
9,3,32,1,2,kWh/person,2030,0
9,3,32,1,2,kWh/person,2031,0
9,3,32,1,2,kWh/person,2032,0
9,3,32,1,2,kWh/person,2033,0
9,3,32,1,2,kWh/person,2034,0
9,3,32,1,2,kWh/person,2035,0
9,3,32,1,2,kWh/person,2036,0
9,3,32,1,2,kWh/person,2037,0
9,3,32,1,2,kWh/person,2038,0
9,3,32,1,2,kWh/person,2039,0
9,3,32,1,2,kWh/person,2040,0
9,3,32,1,2,kWh/person,2041,0
9,3,32,1,2,kWh/person,2042,0
9,3,32,1,2,kWh/person,2043,0
9,3,32,1,2,kWh/person,2044,0
9,3,32,1,2,kWh/person,2045,0
9,3,32,1,2,kWh/person,2046,0
9,3,32,1,2,kWh/person,2047,0
9,3,32,1,2,kWh/person,2048,0
9,3,32,1,2,kWh/person,2049,0
9,3,32,1,2,kWh/person,2050,0
9,3,32,1,6,kWh/person,2010,113.3884732
9,3,32,1,6,kWh/person,2011,112.6606189
9,3,32,1,6,kWh/person,2012,111.9270539
9,3,32,1,6,kWh/person,2013,111.2689549
9,3,32,1,6,kWh/person,2014,110.5687947
9,3,32,1,6,kWh/person,2015,109.9127334
9,3,32,1,6,kWh/person,2016,109.2548367
9,3,32,1,6,kWh/person,2017,108.5844543
9,3,32,1,6,kWh/person,2018,107.8831505
9,3,32,1,6,kWh/person,2019,107.1662231
9,3,32,1,6,kWh/person,2020,104.9261971
9,3,32,1,6,kWh/person,2021,104.265807
9,3,32,1,6,kWh/person,2022,103.4888228
9,3,32,1,6,kWh/person,2023,102.6145738
9,3,32,1,6,kWh/person,2024,101.5226917
9,3,32,1,6,kWh/person,2025,100.7151715
9,3,32,1,6,kWh/person,2026,99.7770815
9,3,32,1,6,kWh/person,2027,99.03583086
9,3,32,1,6,kWh/person,2028,98.31541484
9,3,32,1,6,kWh/person,2029,97.51785753
9,3,32,1,6,kWh/person,2030,96.77257303
9,3,32,1,6,kWh/person,2031,95.72874643
9,3,32,1,6,kWh/person,2032,95.2967389
9,3,32,1,6,kWh/person,2033,94.85799824
9,3,32,1,6,kWh/person,2034,94.31947725
9,3,32,1,6,kWh/person,2035,93.80385935
9,3,32,1,6,kWh/person,2036,93.34377631
9,3,32,1,6,kWh/person,2037,92.72305981
9,3,32,1,6,kWh/person,2038,92.05983649
9,3,32,1,6,kWh/person,2039,91.50597049
9,3,32,1,6,kWh/person,2040,90.79962364
9,3,32,1,6,kWh/person,2041,90.19977254
9,3,32,1,6,kWh/person,2042,89.21305824
9,3,32,1,6,kWh/person,2043,88.86301058
9,3,32,1,6,kWh/person,2044,88.53424434
9,3,32,1,6,kWh/person,2045,88.17231055
9,3,32,1,6,kWh/person,2046,87.76791802
9,3,32,1,6,kWh/person,2047,87.3767702
9,3,32,1,6,kWh/person,2048,87.31572867
9,3,32,1,6,kWh/person,2049,86.75582862
9,3,32,1,6,kWh/person,2050,86.35270255
9,3,32,1,8,kWh/person,2010,0
9,3,32,1,8,kWh/person,2011,0
9,3,32,1,8,kWh/person,2012,0
9,3,32,1,8,kWh/person,2013,0
9,3,32,1,8,kWh/person,2014,0
9,3,32,1,8,kWh/person,2015,0
9,3,32,1,8,kWh/person,2016,0
9,3,32,1,8,kWh/person,2017,0
9,3,32,1,8,kWh/person,2018,0
9,3,32,1,8,kWh/person,2019,0
9,3,32,1,8,kWh/person,2020,0
9,3,32,1,8,kWh/person,2021,0
9,3,32,1,8,kWh/person,2022,0
9,3,32,1,8,kWh/person,2023,0
9,3,32,1,8,kWh/person,2024,0
